ENTITY_ID;OPERATING_COMPANY;ADDRESS;ZIP_CODE;CITY;LONGITUDE;LATITUDE;START_UP_DATE;LOADER_TYPE;NUMBER_OF_CHARGING_POINTS;CONNECTION_POWER_KW;PLUG_TYPES_1;POWER_1_KW;PLUG_TYPES_2;POWER_2_KW;PLUG_TYPES_3;POWER_3_KW;PLUG_TYPES_4;POWER_4_KW
1056;Stadtwerke Forst GmbH;Parkplatz Lindenplatz;3149;Forst;14.648418;51.745573;22.05.17;Normalladeeinrichtung;2;40.0;AC Steckdose Typ 2;20.0;AC Steckdose Typ 2;20.0;;0.0;;0.0
1057;Stadtwerke Forst GmbH;Wehrinselstraße , Parkplatz Rosengarten;3149;Forst;14.66155;51.72881;15.11.17;Normalladeeinrichtung;2;40.0;AC Steckdose Typ 2;20.0;AC Steckdose Typ 2;20.0;;0.0;;0.0
1058;Stadtwerke Forst GmbH;Heinrich-Heine Straße, Parkplatz Kreishaus;3149;Forst;14.653206;51.750235;15.11.17;Normalladeeinrichtung;2;40.0;AC Steckdose Typ 2;20.0;AC Steckdose Typ 2;20.0;;0.0;;0.0
1059;Energieversorgung Guben GmbH;Friedrich-Wilke-Platz;3172;Guben;14.71415;51.95067;09.09.17;Normalladeeinrichtung;2;44.0;AC Steckdose Typ 2;22.0;AC Steckdose Typ 2;22.0;;0.0;;0.0
1060;Stadtwerke Leipzig GmbH;Kurt-Schumacher Straße 6;4103;Leipzig;12.379215;51.344799;01.06.16;Normalladeeinrichtung;4;44.0;AC Steckdose Typ 2;11.0;AC Steckdose Typ 2;11.0;AC Steckdose Typ 2;11.0;AC Steckdose Typ 2;11.0
1061;Stadtwerke Leipzig GmbH;Johannisallee 20;4103;Leipzig;12.395254;51.332494;01.06.16;Normalladeeinrichtung;2;22.0;AC Steckdose Typ 2;11.0;AC Steckdose Typ 2;11.0;;0.0;;0.0
1062;agile accelerator GmbH;Brüderstr. 59;4103;Leipzig;12.38621;51.33278;11.09.17;Normalladeeinrichtung;4;44.0;AC Steckdose Typ 2;22.0;AC Steckdose Typ 2;22.0;AC Steckdose Typ 2;22.0;AC Steckdose Typ 2;22.0
1063;Stadtwerke Leipzig GmbH;Pfaffendorfer Straße 29;4105;Leipzig;12.372033;51.348799;01.01.12;Normalladeeinrichtung;1;3.7;AC Steckdose Typ 2, AC Schuko;3.7;;0.0;;0.0;;0.0
1064;Stadtwerke Leipzig GmbH;Pfaffendorfer Straße 6;4105;Leipzig;12.370884;51.344578;01.06.16;Normalladeeinrichtung;2;22.0;AC Steckdose Typ 2;11.0;AC Steckdose Typ 2;11.0;;0.0;;0.0
1065;Stadtwerke Leipzig GmbH;Nordplatz 3;4105;Leipzig;12.373175;51.351707;01.06.16;Normalladeeinrichtung;2;22.0;AC Steckdose Typ 2;11.0;AC Steckdose Typ 2;11.0;;0.0;;0.0
1066;Stadtwerke Leipzig GmbH;Pfaffendorfer Straße 29;4105;Leipzig;12.372073;51.348861;01.01.12;Normalladeeinrichtung;1;3.7;AC Steckdose Typ 2, AC Schuko;3.7;;0.0;;0.0;;0.0
1067;Stadtwerke Leipzig GmbH;Pfaffendorfer Straße 29;4105;Leipzig;12.372059;51.348832;01.01.12;Normalladeeinrichtung;1;3.7;AC Steckdose Typ 2, AC Schuko;3.7;;0.0;;0.0;;0.0
